Title,Sheet,TaskNo,Standard,Method,FrequenciesCSV,ImageFile,ImageFolderPath
ใบมีด,เครื่องตัดปลา,1,ไม่แตกหักและไม่เป็นสนิม,เช็ค,W,task01.png,เครื่องตัดปลา
ลูกปืน / อัดจาระบี,เครื่องตัดปลา,2,ไม่หลวมคอนหรือแตกชำรุด,เช็ค/ทำ,W,task02.png,เครื่องตัดปลา
มูเลย์และสายพาน,เครื่องตัดปลา,3,มูลเล่ย์ต้องไม่ชำรุด  สายพานไม่ขาดหรือหย่อน,เช็ค,W,task03.png,เครื่องตัดปลา
มอเตอร์,เครื่องตัดปลา,4,ไม่มีเสียงดัง  และไม่มีกลิ่นไหม้,เช็ค,W,task04.png,เครื่องตัดปลา
เฟืองและโซ่,เครื่องตัดปลา,5,เฟืองไม่แหลมคม   โซ่ ข้อต่อต้องไม่หลวมและไม่หย่อน,เช็ค,W,task05.png,เครื่องตัดปลา
ตู้ควบคุมระบบไฟฟ้า,เครื่องตัดปลา,6,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task06.jpeg,เครื่องตัดปลา
,เครื่องตัดปลา,7,,,W,,
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,เครื่องตัดปลา,7,,ทำ,W,,
ลูกปืน / อัดจาระบี,เครื่องตัดปลาชาดีน,1,ลูกปืนต้องไม่แตก ชำรุด,เช็ค,W,task01.jpeg,เครื่องตัดปลาชาดีน
มอเตอร์,เครื่องตัดปลาชาดีน,2,มอเตอร์ต้องไม่มีเสียงดัง,เช็ค,W,task02.jpeg,เครื่องตัดปลาชาดีน
โซ่สายพาน,เครื่องตัดปลาชาดีน,3,ต้องไม่ขาด ชำรุด,เช็ค,W,task03.jpeg,เครื่องตัดปลาชาดีน
ใบมีดตัดปลา,เครื่องตัดปลาชาดีน,4,ต้องไม่หักบิ่น,เช็ค,W,task04.jpeg,เครื่องตัดปลาชาดีน
โซ่-เฟือง,เครื่องตัดปลาชาดีน,5,โซ่ต้องไม่ขาดหรือหย่อน-เฟืองต้องไม่ชำรุด,เช็ค,W,task05.jpeg,เครื่องตัดปลาชาดีน
โครงสร้าง,เครื่องตัดปลาชาดีน,6,ต้องไม่ชำรุด หัก,เช็ค,W,task06.jpeg,เครื่องตัดปลาชาดีน
มูเล่ย์-สายพาน,เครื่องตัดปลาชาดีน,7,มูเล่ย์ต้องต้องไม่แตก-สายพานต้องไม่ชำรุด,เช็ค,W,task07.jpeg,เครื่องตัดปลาชาดีน
ตู้ควบคุมระบบไฟฟ้า,เครื่องตัดปลาชาดีน,8,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task08.jpeg,เครื่องตัดปลาชาดีน
เปลี่ยนน้ำมันทุ่ก 6 เดือน,เครื่องตัดปลาชาดีน,9,เปลี่ยนน้ำมันวันที่:,ทำ,W,,
การเคลียร์สื่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,เครื่องตัดปลาชาดีน,10,,ทำ,W,,
พัดลมคอยร้อน,ห้องเย็น,1,ใบพัดลมต้องไม่ชำรุด หมุนได้ปกติดี,เช็ค,W,task01.jpeg,ห้องเย็น
พัดลมคอยร์เย็น,ห้องเย็น,2,ใบพัดต้องหมุนได้ปกติ ไม่ชำรุด,เช็ค,W,task02.jpeg,ห้องเย็น
ประตูห้องเย็น,ห้องเย็น,3,ต้องไม่ชำรุด,เช็ค,W,task03.jpeg,ห้องเย็น
ท่อคอมเฟรสเซอร์,ห้องเย็น,4,ไม่ชำรุดไม่รั่ว,เช็ค,W,task04.jpeg,ห้องเย็น
โครงสร้าง,ห้องเย็น,5,ต้องอยู่ในสภาพสมบูณร์,เช็ค,W,task05.jpeg,ห้องเย็น
ตู้ควบคุมระบบไฟฟ้า,ห้องเย็น,6,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task06.jpeg,ห้องเย็น
,ห้องเย็น,7,,,W,,
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,ห้องเย็น,7,,ทำ,W,,
มอเตอร์เกียร์,สายพานขูดปลา,1,ไม่มีเสียงดัง ไม่มีกลิ่นไหม้  เกียร์ไม่มีน้ำมันรั่วซึม,เช็ค,W,task01.png,สายพานขูดปลา
ลูกปืน/อัดจาระบี,สายพานขูดปลา,2,ไม่หลวมคอนและไม่แตกชำรุด,เช็ค/ทำ,W,task02.png,สายพานขูดปลา
สายพานสีน้ำเงิน,สายพานขูดปลา,3,สายพานต้องไม่ขาดและไม่หย่อนหรือเบียดข้างซ้าย-ขวา,เช็ค,W,task03.png,สายพานขูดปลา
สายพานกระดูกงูและเฟือง,สายพานขูดปลา,4,สายพานต้องไม่มีรอยร้าวหรือแตกชำรุด เฟืองไม่แตกหัก,เช็ค,W,task04.png,สายพานขูดปลา
โลว์ลูกกลิ้ง,สายพานขูดปลา,5,ยางหุ้มโลว์ต้องไม่หลุดหรือชำรุดแตก,เช็ค,W,task05.png,สายพานขูดปลา
โครงสร้าง,สายพานขูดปลา,6,ไม่ชำรุดหักหรือเป็นสนิม,เช็ค,W,task06.png,สายพานขูดปลา
ตู้ควบคุมระบบไฟฟ้า,สายพานขูดปลา,7,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task07.jpeg,สายพานขูดปลา
เปลี่ยนน้ำมันทุ่ก 6 เดือน,สายพานขูดปลา,8,เปลี่ยนน้ำมันวันที่:,ทำ,W,,
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,สายพานขูดปลา,9,,ทำ,W,,
มอเตอร์เกียร์,สายพานผ่าท้องปลา,1,มอเตอร์ต้องไม่มีเสียงดัง ไม่มีกลิ่นเหม็นไหม้ เกีรย์ต้องไม่มีน้ำมันรั่ว,เช็ค,W,task01.jpeg,สายพานผ่าท้องปลา
ลูกปืน/อัดจาระบี,สายพานผ่าท้องปลา,2,ลูกปืนต้องไม่หลวมคอน ไม่ชำรุดแตก,เช็ค/ทำ,W,task02.jpeg,สายพานผ่าท้องปลา
สายพานทิ้งไส้ปลา,สายพานผ่าท้องปลา,3,สายพานต้องไม่ชำรุดขาด และไม่หย่อนหรือเบียดซ้าย-ขวา,เช็ค,W,task03.jpeg,สายพานผ่าท้องปลา
สายพานควักไส้,สายพานผ่าท้องปลา,4,น๊อตลอ๊คสายพานต้องอยู่ครบ สายพานต้องไม่เป็นสมิม,เช็ค,W,task04.jpeg,สายพานผ่าท้องปลา
โครงสร้าง,สายพานผ่าท้องปลา,5,สภาพโครงสร้างต้องไม่หักชำรุด และไม่เป็นสนิม,เช็ค,W,task05.jpeg,สายพานผ่าท้องปลา
ตู้ควบคุมระบบไฟฟ้า,สายพานผ่าท้องปลา,6,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task06.jpeg,สายพานผ่าท้องปลา
เปลี่ยนน้ำมันทุ่ก 6 เดือน,สายพานผ่าท้องปลา,7,เปลี่ยนน้ำมันวันที่:,ทำ,W,,
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,สายพานผ่าท้องปลา,8,,ทำ,W,,
มอเตอร์ปั๊ม,Dumper,1,มอเตอร์ต้องไม่มีเสียงดัง และไม่มีกลิ่นเหม็นไหม้,เช็ค,W,task01.jpeg,Dumper
สายไฮโดรลิค,Dumper,2,สภาพสายต้องไม่ชำรุดขาด ไม่มีน้ำมันรั่วชึม,เช็ค,W,task02.jpeg,Dumper
กระบอกไฮโดรลิค,Dumper,3,สภาพต้องไม่มีน้ำมันรั่วชึม แกนต้องไม่เป็นสนิม,เช็ค,W,task03.jpeg,Dumper
น้ำมัน,Dumper,4,น้ำมันต้องมีเพียงพอ ระดับน้ำมันต้องไม่ต่ำกว่าขีดแดง,เช็ค,W,task04.jpeg,Dumper
ลูกปืน/อัดจาระบี,Dumper,5,ต้องไม่หลวมคอน และชำรุดแตก,เช็ค/ทำ,W,task05.jpeg,Dumper
โครงสร้าง,Dumper,6,ต้องไม่มีรอยชำรุดหัก และไม่เป็นสนิม,เช็ค,W,task06.jpeg,Dumper
ตู้ควบคุมระบบไฟฟ้า,Dumper,7,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task07.jpeg,Dumper
เปลี่ยนน้ำมันทุ่ก 6 เดือน,Dumper,8,เปลี่ยนน้ำมันวันที่:,ทำ,W,,
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,Dumper,9,,ทำ,W,,
หัวฉีดสเปร์ย,รางสเปร์ยคูลลิ่งปลา,1,หัวฉีดตัองอยู่ครบ ไม่อุดตัน,เช็ค,M,task01.jpeg,รางสเปร์ยคูลลิ่งปลา
ระบบท่อ,รางสเปร์ยคูลลิ่งปลา,2,ท่อต้องไม่มีน้ำรั่ว,เช็ค,M,task02.jpeg,รางสเปร์ยคูลลิ่งปลา
โครงสร้าง,รางสเปร์ยคูลลิ่งปลา,3,โครงสร้างต้องไม่ชำรุดหัก ไม่เป็นสนิม,เช็ค,M,task03.jpeg,รางสเปร์ยคูลลิ่งปลา
มอเตอร์ปั๊ม,รางสเปร์ยคูลลิ่งปลา,4,มอเตอร์ปั๊มต้องไม่รั่ว,เช็ค,M,task04.jpeg,รางสเปร์ยคูลลิ่งปลา
ตู้ควบคุมระบบไฟฟ้า,รางสเปร์ยคูลลิ่งปลา,5,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,M,task05.jpeg,รางสเปร์ยคูลลิ่งปลา
,รางสเปร์ยคูลลิ่งปลา,6,,,M,,
,รางสเปร์ยคูลลิ่งปลา,7,,,M,,
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,รางสเปร์ยคูลลิ่งปลา,6,,ทำ,W,,
ประเก็นฝาหม้อ,ตู้นึ่งปลา,1,ต้องไม่ฉีกขาด,เช็ค,W,task01.jpeg,ตู้นึ่งปลา
หัวฉีดสเปรย์,ตู้นึ่งปลา,2,ไม่อุดตันและต้องมีครบ,เช็ค,W,task02.jpeg,ตู้นึ่งปลา
ระบบท่อ,ตู้นึ่งปลา,3,ไม่ชำรุดหรือรั่ว,เช็ค,W,task03.jpeg,ตู้นึ่งปลา
คอลโทรลวาล์ว,ตู้นึ่งปลา,4,ทำงานได้ปกติ ไม่ชำรุด,เช็ค,W,task04.jpeg,ตู้นึ่งปลา
เซฟตี้วาล์ว,ตู้นึ่งปลา,5,สามารถใช้งานได้ปกติ,เช็ค,W,task05.jpeg,ตู้นึ่งปลา
โครงสร้าง,ตู้นึ่งปลา,6,ไม่ชำรุด ไม่เป็นสนิม,เช็ค,W,task06.jpeg,ตู้นึ่งปลา
ตู้ควบคุมระบบไฟฟ้า,ตู้นึ่งปลา,7,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task07.jpeg,ตู้นึ่งปลา
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,ตู้นึ่งปลา,8,,ทำ,W,,
1W,ตรวจจับโลหะแบบท่อ,1,ท่อลำเลียงอาหาร,,W,task01.png,ตรวจจับโลหะแบบท่อ
1W,ตรวจจับโลหะแบบท่อ,2,Solinoid Valve,,W,task02.jpeg,ตรวจจับโลหะแบบท่อ
1W,ตรวจจับโลหะแบบท่อ,3,Regulator,,W,task03.jpeg,ตรวจจับโลหะแบบท่อ
1W,ตรวจจับโลหะแบบท่อ,4,โครงสร้าง,,W,task04.jpeg,ตรวจจับโลหะแบบท่อ
,ตรวจจับโลหะแบบท่อ,5,ตู้ควบคุมระบบไฟฟ้า,,W,task05.jpeg,ตรวจจับโลหะแบบท่อ
,ตรวจจับโลหะแบบท่อ,6,,,W,,
,ตรวจจับโลหะแบบท่อ,7,,,W,,
การเคลียร์สิ่งแปลกปลอม /ความสะอาดก่อนส่งมอบ,ตรวจจับโลหะแบบท่อ,6,,,W,,
แผงรังผึ้ง,ตู้แช่ทำความเย็น,1,ต้องไม่รั่วไม่ชำรุด,,A,task01.jpeg,ตู้แช่ทำความเย็น
เบเกอร์-ฟิวส์,ตู้แช่ทำความเย็น,2,เบเกิร์ต้องไม่ชำรุด/ฟิวส์ไม่ขาด,,A,task02.jpeg,ตู้แช่ทำความเย็น
หน้าจอ,ตู้แช่ทำความเย็น,3,ต้องไม่แตกชำรุด,,A,task03.jpeg,ตู้แช่ทำความเย็น
พัดลม,ตู้แช่ทำความเย็น,4,ใบพัดต้องไม่ชำรุดแตก,,A,task04.jpeg,ตู้แช่ทำความเย็น
ประเก็นฝา,ตู้แช่ทำความเย็น,5,ต้องไม่ขาดชำรุด,,A,task05.jpeg,ตู้แช่ทำความเย็น
โครงสร้าง,ตู้แช่ทำความเย็น,6,ต้องไม่หักชำรุด,,A,task06.jpeg,ตู้แช่ทำความเย็น
ตู้ควบคุมระบบไฟฟ้า,ตู้แช่ทำความเย็น,7,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่อยรอยสายไฟชำรุด,,A,,
,ตู้แช่ทำความเย็น,8,,,,,
หน้าจอ,เครื่องชั่งเช็คเวท,1,หน้าจอต้องไม่แตกชำรุด,เช็ค,W,task01.jpeg,เครื่องชั่งเช็คเวท
สายพาน,เครื่องชั่งเช็คเวท,2,ไม่ชำรุดขาด,เช็ค,W,task02.jpeg,เครื่องชั่งเช็คเวท
สายพานขับมอเตอร์,เครื่องชั่งเช็คเวท,3,สายพานไม่หย่อนไม่ชำรุดขาด,เช็ค,W,task03.jpeg,เครื่องชั่งเช็คเวท
Regulator,เครื่องชั่งเช็คเวท,4,ไม่ชำรุดแตกไม่รั่ว,เช็ค,W,task04.jpeg,เครื่องชั่งเช็คเวท
โครงสร้าง,เครื่องชั่งเช็คเวท,5,ไม่หักชำรุดหักไม่เป็นสนิม,เช็ค,W,task05.jpeg,เครื่องชั่งเช็คเวท
มอเตอร์ขับ,เครื่องชั่งเช็คเวท,6,มอเตอร์ต้องไม่มีเสียงดัง,เช็ค,W,task06.jpeg,เครื่องชั่งเช็คเวท
ตู้ควบคุมระบบไฟฟ้า,เครื่องชั่งเช็คเวท,7,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task07.jpeg,เครื่องชั่งเช็คเวท
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,เครื่องชั่งเช็คเวท,8,,ทำ,W,,
มอเตอร์,ปั๊มวัตถุดิบ,1,ไม่มีเสียงดังและไม่มีกลิ่นเหม็นไหม้,เช็ค,W,task01.png,ปั๊มวัตถุดิบ
กระบอกปั๊ม,ปั๊มวัตถุดิบ,2,ต้องไม่รั่วซึม,เช็ค,W,task02.jpeg,ปั๊มวัตถุดิบ
น๊อตยึดหน้าปั๊ม,ปั๊มวัตถุดิบ,3,หน้าแปลนต้องสนิทไม่รั่วซึม น๊อตครบตามจำนวน,เช็ค,W,task03.jpeg,ปั๊มวัตถุดิบ
โครงสร้าง,ปั๊มวัตถุดิบ,4,ไม่หักชำรุด ไม่เป็นสนิม,เช็ค,W,task04.jpeg,ปั๊มวัตถุดิบ
ตู้ควบคุมระบบไฟฟ้า,ปั๊มวัตถุดิบ,5,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task05.jpeg,ปั๊มวัตถุดิบ
,ปั๊มวัตถุดิบ,6,,,W,,
,ปั๊มวัตถุดิบ,7,,,W,,
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,ปั๊มวัตถุดิบ,6,,ทำ,W,,
Feed Bucket,เครื่องชั่งปลามัลติเฮด,1,ต้องให้ตัวได้สภาพต้องสมบูณร์ไม่ปิดงอ,เช็ค,W,task01.jpeg,เครื่องชั่งปลามัลติเฮด
Linear Feeder Pan,เครื่องชั่งปลามัลติเฮด,2,สภาพต้องไม่ปิดงอ,เช็ค,W,task02.jpeg,เครื่องชั่งปลามัลติเฮด
สกรูพาถ้วย,เครื่องชั่งปลามัลติเฮด,3,ต้องไม่ชำรุดจังหวะพาถ้วยถูกต้อง,เช็ค,W,task03.jpeg,เครื่องชั่งปลามัลติเฮด
Regulator,เครื่องชั่งปลามัลติเฮด,4,ไม่ชำรุดแตกลมไม่รั่ว,เช็ค,W,task04.jpeg,เครื่องชั่งปลามัลติเฮด
หน้าจอ,เครื่องชั่งปลามัลติเฮด,5,หน้าจอไม่ชำรุดแตก,เช็ค,W,task05.jpeg,เครื่องชั่งปลามัลติเฮด
โครงสร้าง,เครื่องชั่งปลามัลติเฮด,6,โครงสร้าไม่ชำรุดหักไม่เป็นสนิม,เช็ค,W,task06.jpeg,เครื่องชั่งปลามัลติเฮด
ตู้ควบคุมระบบไฟฟ้า,เครื่องชั่งปลามัลติเฮด,7,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task07.jpeg,เครื่องชั่งปลามัลติเฮด
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,เครื่องชั่งปลามัลติเฮด,8,,ทำ,W,,
สายพานกลม,เครื่องบรรจุซองเพ้าช์TYJ,1,สายพานไม่ขาดชำรุด,เช็ค,W,task01.png,เครื่องบรรจุซองเพ้าช์TYJ
ลูกปืน/อัดจาระบี,เครื่องบรรจุซองเพ้าช์TYJ,2,ไม่หลวมคอน,เช็ค/ทำ,W,task02.jpeg,เครื่องบรรจุซองเพ้าช์TYJ
ตัวดูดปากและก้นถุง,เครื่องบรรจุซองเพ้าช์TYJ,3,ไม่ชำรุด ฉีกขาด,เช็ค,W,task03.jpeg,เครื่องบรรจุซองเพ้าช์TYJ
หัวเติมอาหาร,เครื่องบรรจุซองเพ้าช์TYJ,4,ไม่ชำรุดหรือเป็นสนิม,เช็ค,W,task04.png,เครื่องบรรจุซองเพ้าช์TYJ
เทปทนความร้อน            Teflon Sheet,เครื่องบรรจุซองเพ้าช์TYJ,5,ไม่ฉีกขาด สะอาดพร้อมใช้งาน,เช็ค,W,task05.jpeg,เครื่องบรรจุซองเพ้าช์TYJ
มอเตอร์ Vaccum,เครื่องบรรจุซองเพ้าช์TYJ,6,ไม่มีเสียงดัง,เช็ค,W,task06.png,เครื่องบรรจุซองเพ้าช์TYJ
มอเตอร์ขับ,เครื่องบรรจุซองเพ้าช์TYJ,7,มอเตอร์ขับเกียร์ต้องไม่มีเสียงดัง,เช็ค,W,task07.jpeg,เครื่องบรรจุซองเพ้าช์TYJ
ตู้ควบคุมระบบไฟฟ้า,เครื่องบรรจุซองเพ้าช์TYJ,8,ไม่มีสิ่งผิดปกติด้านในตู้ อุปกรณ์อยู่ในสภาพเรียบร้อย ไม่มีร่องรอยสายไฟชำรุด,เช็ค,W,task08.jpeg,เครื่องบรรจุซองเพ้าช์TYJ
เปลี่ยนน้ำมันทุ่ก 6 เดือน,เครื่องบรรจุซองเพ้าช์TYJ,9,เปลี่ยนน้ำมันวันที่:,ทำ,W,,
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,เครื่องบรรจุซองเพ้าช์TYJ,10,,ทำ,W,,
ตัวดุดปาก / ก้นถุง,เครื่องบรรจุเพ้าช์ Dupex,1,ต้องไม่ฉีกขาดดูดถุงได้ดี,เช็ค,W,task01.jpeg,เครื่องบรรจุเพ้าช์_Dupex
สายพานกลมพาถุง,เครื่องบรรจุเพ้าช์ Dupex,2,ต้องไม่ชำรุดฉีกขาด,เช็ค,W,task02.jpeg,เครื่องบรรจุเพ้าช์_Dupex
หัวเติมอาหาร,เครื่องบรรจุเพ้าช์ Dupex,3,ต้องไม่ชำรุดและรั่ว,เช็ค,W,task03.jpeg,เครื่องบรรจุเพ้าช์_Dupex
กระบอกสูบอาหาร,เครื่องบรรจุเพ้าช์ Dupex,4,อาหารต้องไม่รั่วและชำรุด,เช็ค,W,task04.jpeg,เครื่องบรรจุเพ้าช์_Dupex
Regulator,เครื่องบรรจุเพ้าช์ Dupex,5,ไม่ชำรุดแตก ลมไม่รั่ว,เช็ค,W,task05.jpeg,เครื่องบรรจุเพ้าช์_Dupex
กรวยรับอาหาร,เครื่องบรรจุเพ้าช์ Dupex,6,สภาพไม่แตกหักบิดงอ,เช็ค,W,task06.jpeg,เครื่องบรรจุเพ้าช์_Dupex
เทปทนความร้อน,เครื่องบรรจุเพ้าช์ Dupex,7,สภาพต้องไม่ฉีกขาดชำรุด,เช็ค,W,task07.jpeg,เครื่องบรรจุเพ้าช์_Dupex
มอเตอร์เกียร์+เกียร์ทดรอบ,เครื่องบรรจุเพ้าช์ Dupex,8,มอเตอร์ต้องไม่มีเสียงดัง/เกียร์น้ำมันไม่รั่ว,เช็ค,W,task08.jpeg,เครื่องบรรจุเพ้าช์_Dupex
เปลี่ยนน้ำมันทุ่ก 6 เดือน,เครื่องบรรจุเพ้าช์ Dupex,9,เปลี่ยนน้ำมันวันที่:,ทำ,W,,
การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,เครื่องบรรจุเพ้าช์ Dupex,10,,ทำ,W,,
สภาพตัวเครื่อง,เครื่องปิดฝา,1,จะต้องไม่เป็นสนิม สีต้องไม่หลุดร่อน ต้องสะอาด,เช็ค,W,task01.jpeg,เครื่องปิดฝา
Cover Index Lever,เครื่องปิดฝา,2,สภาพต้องสมบูรณ์ไม่คดงอสามารถกั้นกระป๋องเรียกฝาได้,เช็ค,W,task02.jpeg,เครื่องปิดฝา
Rim Gear Feed Disc,เครื่องปิดฝา,3,หน้าจานต้องเรียบไม่บิดงอ ฟันฟืองต้องสมบูรณ์,เช็ค,W,task03.jpeg,เครื่องปิดฝา
Auxiliary Feed Ring Gear 64T,เครื่องปิดฝา,4,หน้าจานเฟืองต้องเรียบ ระยะให้ตัวของร่องฟันไม่มากเกินไป,เช็ค,W,task04.jpeg,เครื่องปิดฝา
Screw Feed,เครื่องปิดฝา,5,จังหวะต้องสัมพันธ์กับ Feed Disc Arm กระป๋องผ่านสะดวก,เช็ค,W,task05.jpeg,เครื่องปิดฝา
