Sheet,TaskNo,Title,Current,Correct,PlanText
COOLING WATER,7,การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,W,M,7.การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ
Chiller,8,การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,W,M,8.การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ
Dumper,8,เปลี่ยนน้ำมันทุ่ก 6 เดือน,W,S,8.เปลี่ยนถ่ายน้ำมันทุ่ก 6 เดือน
Filler,9,เปลี่ยนถ่ายน้ำมันทุ่ก 6 เดือน,W,S,9.เปลี่ยนถ่ายน้ำมันทุ่ก 6 เดือน
Filling,9,เปลี่ยนถ่ายน้ำมันทุ่ก 6 เดือน,W,S,9.เปลี่ยนถ่ายน้ำมันทุ่ก 6 เดือน
HIMIXER3,1,วาล์วและท่อ,,W,1.ตรวจเช็ค วาล์วและท่อ
HIMIXER3,2,หน้าปั๊ม,,W,2.ตรวจเช็ค หน้าปั๊ม
HIMIXER3,3,มอเตอร์ลม,,W,3.ตรวจเช็ค มอเตอร์ลม
HIMIXER3,4,มอเตอร์,,W,4.ตรวจเช็ค มอเตอร์
HIMIXER3,5,โครงสร้าง,,W,5.ตรวจเช็ค โครงสร้าง
HIMIXER3,6,ตู้ควบคุมระบบไฟฟ้า,,W,6.ตรวจเช็ค ตู้ควบคุมระบบไฟฟ้า
HIMIXER3,7,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,7.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
Hi-Mixer,1,มอเตอร์,,W,1.ตรวจเช็ค วาล์วและท่อ
Hi-Mixer,2,ใบกวน,,W,2.ตรวจเช็ค หน้าปั๊ม
Hi-Mixer,3,ลูกปืน/อัดจาระบี,,W,3.ตรวจเช็ค มอเตอร์ลม
Hi-Mixer,4,มูเล่ย์ / สายพาน,,W,4.ตรวจเช็ค มอเตอร์
Hi-Mixer,5,โครงสร้าง,,W,5.ตรวจเช็ค โครงสร้าง
Hi-Mixer,6,ตู้ควบคุมระบบไฟฟ้า,,W,6.ตรวจเช็ค ตู้ควบคุมระบบไฟฟ้า
Hi-Mixer,7,,,S,7.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
Hi-Mixer,7,การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,W,S,7.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
Ribbon Mixer,7,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,7.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
Ribbon3,6,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,6.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
คอมพิวเตอร์,5,Hard Disk,Q,W,5.การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบงาน
คอมพิวเตอร์,7,,Q,W,
ตู้อบสแน็ค,9,ตู้ควบคุมระบบไฟฟ้า,W,S,9.ตรวจเช็ค ตู้ควบคุมไฟฟ้า
ถังพักน้ำ,7,,M,W,7.การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบงาน
ท่อระบายน้ำและรางน้ำฝน,4,,M,W,4.การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบงาน
บรรจุซองแมวเลีย,8,เปลี่ยนถ่ายน้ำมันทุ่ก 6 เดือน,W,S,8.เปลี่ยนถ่ายน้ำมันทุ่ก 6 เดือน
ปั๊มลมสกรู Air Compressure,7,เปลี่ยนถ่ายน้ำมันเกรดอาหารทุ่ก 6 เดือน,W,S,7.เปลี่ยนถ่ายน้ำมันเกรดอาหารทุ่ก 6 เดือน
รถโฟคลิฟน้ำมัน,7,เปลี่ยนถ่ายน้ำมันเครื่องทุ่ก 6 เดือน,W,S,7.เปลี่ยนถ่ายน้ำมันไฮดรอลิคทุ่ก 6 เดือน
ระบบน้ำ RO1,1,ไส้กรองเมมเบรน,W,S,1.ตรวจเช็ค ไส้กรองเมมเบรน
ระบบน้ำ RO1,2,ไส้กรองใยสังเคราะห์,W,Q,2.ตรวจเช็ค ไส้กรองใยสังเคราะห์
รางสเปร์ยคูลลิ่งปลา,6,การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,W,M,6.การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบงาน
สายพาน ติดฉลาก,7,เปลี่ยนถ่ายน้ำมันไฮดรอลิคทุ่ก 6 เดือน,W,S,7.เปลี่ยนถ่ายน้ำมันไฮดรอริคทุ่ก 6 เดือน
สายพานขูดปลา,8,เปลี่ยนน้ำมันทุ่ก 6 เดือน,W,S,8. เปลี่ยนน้ำมันเครื่องทุ่ก 6 เดือน
สายพานชั่ง,7,เปลี่ยนถ่ายน้ำมันทุ่ก 6 เดือน,W,S,7. เปลี่ยนถ่ายน้ำมันทุ่ก 6 เดือน
สายพานผ่าท้องปลา,7,เปลี่ยนน้ำมันทุ่ก 6 เดือน,W,S,7.เปลี่ยนน้ำมันเครื่องทุ่ก 6 เดือน
สายพานพากระป๋องเปล่า,4,มอเตอร์เป่าลม/ฟิวเตอร์,W,M,4. ตรวจมอเตอร์เป่าลม/ฟิวเตอร์กรองลม
สายพานพากระป๋องเปล่า,7,วัดความเร็วลมโบว์โว่,W,M,7. ตรวจวัดแรงลม
สายพานรับซองเพ้าช์,1,ลูกปืน/อัดจาระบี,,W,1. ตรวจเช็ค ลูกปืน/อัดจาระบี
สายพานรับซองเพ้าช์,2,สายพาน,,W,2. ตรวจเช็ค สายพาน
สายพานรับซองเพ้าช์,3,มอเตอร์เกียร์,,W,3. ตรวจเช็ค มอเตอร์เกียร์
สายพานรับซองเพ้าช์,4,โครงสร้าง,,W,4. ตรวจเช็ค โครงสร้าง
สายพานรับซองเพ้าช์,5,ตู้ควบคุมระบบไฟฟ้า,,W,5. ตรวจเช็ค ตู้ควบคุมไฟฟ้า
สายพานรับซองเพ้าช์,6,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,6. เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
สายพานรับซองเพ้าช์,7,,,W,7. การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ
สายพานลำเลียงกล่อง,7,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,7. เปลี่ยนถ่ายน้ำมันทุ่ก 6 เดือน
สายพานสามกลับ,8,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,8. เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
หม้อฆ่าเชื้อกระป๋อง,9,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,9.เปลี่ยนถ่ายน้ำมันเกีนร์ทุ่ก 6 เดือน
หม้อฆ่าเชื้อกล่อง,9,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,9.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
หม้อฆ่าเชื้อเพ๊าท์,9,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,9.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
อาคาร,6,,M,W,6.การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบงาน
เครื่องจ่ายกระป๋องเปล่า,8,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,8.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
เครื่องตัดปลาชาดีน,9,เปลี่ยนน้ำมันทุ่ก 6 เดือน,W,S,9.เปลี่ยนน้ำมันทุ่ก 6 เดือน
เครื่องทำลมแห้ง,7,การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,W,M,7.การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ
เครื่องนวดส่วนผสม,8,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,8.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
เครื่องบรรจุซองเพ้าช์TYJ,9,เปลี่ยนน้ำมันทุ่ก 6 เดือน,W,S,9.เปลี่ยนถ่ายน้ำมันทุ่ก 6 เดือน
เครื่องบรรจุเพ้าช์ Dupex,9,เปลี่ยนน้ำมันทุ่ก 6 เดือน,W,S,9.เปลี่ยนน้ำมันทุ่ก 6 เดือน
เครื่องปรับอากาศ,8,การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ,W,M,8.การเคลียร์สิ่งแปลกปลอม / ความสะอาดก่อนส่งมอบ
เครื่องปิดฉลาก,9,เปลี่ยนถ่ายน้ำมันไฮดรอลิคทุ่ก 6 เดือน,W,S,9.เปลี่ยนถ่ายน้ำมันไฮดรอลิคทุ่ก 6 เดือน
เครื่องปิดฝา,9,เปลี่ยนน้ำมันทุ่ก 3 เดือน,W,Q,9.เปลี่ยนน้ำมันทุ่ก 3 เดือน
เครื่องสับผสม,7,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,7. เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
เครื่องเป่ากระป๋องแห้ง,9,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,9.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
เครื่องเป่าซองPOUCH,9,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,9.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
เครื่องเอียงตะกร้า,9,เปลี่ยนถ่ายน้ำมันไฮดรอลิคทุ่ก 6 เดือน,W,S,9.เปลี่ยนถ่ายน้ำมันไฮดรอลิคทุ่ก 6 เดือน
Extruder,9,เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน,W,S,9.เปลี่ยนถ่ายน้ำมันเกียร์ทุ่ก 6 เดือน
จานหมุน,10,เปลี่ยนถ่ายน้ำมันไฮดรอลิค/น้ำมันเกียร์ทุ่ก 6 เดือน,W,S,10.เปลี่ยนถ่ายน้ำมันไฮดรอลิค/น้ำมันเกียร์ทุ่ก 6 เด
